timestamp,bin_id,ward,area_type,bin_capacity_liters,bin_location_lat,bin_location_lon,day_of_week,hour_of_day,is_weekend,is_holiday,time_since_last_pickup,bin_fill_percent
2025-08-01 00:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,0,False,False,1,0
2025-08-01 01:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,1,False,False,2,0
2025-08-01 02:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,2,False,False,3,0
2025-08-01 03:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,3,False,False,4,0
2025-08-01 04:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,4,False,False,5,0
2025-08-01 05:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,5,False,False,6,0
2025-08-01 06:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,6,False,False,7,0
2025-08-01 07:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,7,False,False,8,5
2025-08-01 08:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,8,False,False,9,9
2025-08-01 09:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,9,False,False,1,8
2025-08-01 10:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,10,False,False,2,8
2025-08-01 11:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,11,False,False,3,8
2025-08-01 12:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,12,False,False,4,8
2025-08-01 13:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,13,False,False,5,8
2025-08-01 14:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,14,False,False,6,8
2025-08-01 15:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,15,False,False,7,8
2025-08-01 16:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,16,False,False,8,8
2025-08-01 17:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,17,False,False,9,8
2025-08-01 18:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,18,False,False,10,12
2025-08-01 19:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,19,False,False,11,19
2025-08-01 20:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,20,False,False,12,21
2025-08-01 21:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,21,False,False,1,4
2025-08-01 22:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,22,False,False,2,4
2025-08-01 23:00:00,101,F/North,Residential,600,19.0218,72.8741,Friday,23,False,False,3,4
2025-08-02 00:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,0,True,False,4,4
2025-08-02 01:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,1,True,False,5,4
2025-08-02 02:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,2,True,False,6,4
2025-08-02 03:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,3,True,False,7,4
2025-08-02 04:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,4,True,False,8,4
2025-08-02 05:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,5,True,False,9,4
2025-08-02 06:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,6,True,False,10,4
2025-08-02 07:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,7,True,False,11,8
2025-08-02 08:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,8,True,False,12,12
2025-08-02 09:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,9,True,False,1,15
2025-08-02 10:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,10,True,False,2,15
2025-08-02 11:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,11,True,False,3,15
2025-08-02 12:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,12,True,False,4,15
2025-08-02 13:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,13,True,False,5,15
2025-08-02 14:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,14,True,False,6,15
2025-08-02 15:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,15,True,False,7,15
2025-08-02 16:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,16,True,False,8,15
2025-08-02 17:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,17,True,False,9,15
2025-08-02 18:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,18,True,False,10,23
2025-08-02 19:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,19,True,False,11,27
2025-08-02 20:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,20,True,False,12,33
2025-08-02 21:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,21,True,False,1,8
2025-08-02 22:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,22,True,False,2,8
2025-08-02 23:00:00,101,F/North,Residential,600,19.0218,72.8741,Saturday,23,True,False,3,8
2025-08-03 00:00:00,101,F/North,Residential,600,19.0218,72.8741,Sunday,0,True,False,4,8
